drift,vol,leverage,horizon_years,median_terminal,mean_terminal,median_cagr,mean_cagr,median_vol,median_sharpe,median_max_dd,worst_max_dd,prob_loss,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90
0.0,0.1,1.5,10,0.8977223170751302,0.991251220246691,-0.010731453958597592,-0.010836752347561436,0.14997995462694017,0.003975286936137129,-0.44119252530212094,-0.8576809760971428,0.59875,0.34,0.35575,0.035,0.0
0.0,0.1,2.0,10,0.8226024648789231,0.9878863255218969,-0.019338783303392004,-0.018855109688971375,0.19997327283592026,0.003975286936135377,-0.5494507026983477,-0.929292576863188,0.6265,0.30875,0.62925,0.17675,0.002
0.0,0.1,2.5,10,0.7355540923050219,0.9844752697498119,-0.030246272384691963,-0.029001284630395956,0.24996659104490032,0.003975286936136753,-0.6420802495549688,-0.9657342132560566,0.66,0.276,0.81925,0.37,0.01775
0.0,0.1,3.0,10,0.6415219638415953,0.9812345544077586,-0.04342031616100067,-0.04120954588474601,0.2999599092538804,0.003975286936137457,-0.720009629726619,-0.9838032086340366,0.69125,0.251,0.9315,0.5525,0.07125
0.0,0.1,1.0,20,0.894487925850485,0.9892497153838319,-0.005559682234990593,-0.005177661224235477,0.09997699811931751,-0.006280597969366763,-0.42631478386684707,-0.8167413749074683,0.59525,0.0,0.29825,0.0225,0.0
0.0,0.1,1.25,20,0.8426473806094471,0.986170819152373,-0.00852380006803194,-0.007943765410712497,0.1249712476491469,-0.00628059796936889,-0.5079379007747321,-0.8830448953932737,0.61425,0.30225,0.521,0.09425,0.0
0.0,0.1,1.5,20,0.7836185049947081,0.9831187679627,-0.012117632009048918,-0.011290474412489393,0.14996549717897628,-0.006280597969367772,-0.5810230096614848,-0.9261377676215766,0.635,0.28225,0.69725,0.2125,0.00275
0.0,0.1,2.0,20,0.6532271863922134,0.9776370511503151,-0.021066450824300698,-0.01970156717885686,0.19995399623863502,-0.0062805979693679355,-0.7029609894625706,-0.9714762553020553,0.67775,0.24575,0.89875,0.50875,0.0505
0.0,0.1,2.5,20,0.5169389228754906,0.9740835407105465,-0.032453247251167716,-0.030352987767025802,0.24994249529829382,-0.006280597969367759,-0.7959701106714295,-0.9894334733118132,0.71775,0.2075,0.977,0.72775,0.175
0.0,0.1,3.0,20,0.389071604044843,0.9739629772417537,-0.046103013565038764,-0.043171792962504486,0.29993099435795256,-0.0062805979693673665,-0.8631185625232619,-0.9962484508546752,0.75425,0.173,0.996,0.86175,0.3605
0.0,0.15,1.0,1,0.9911206957225687,1.0004240311580084,-0.008879304277431388,0.00042403115800841815,0.14956168547651394,0.013030939516966454,-0.15173607901561242,-0.44959690822781107,0.5245,0.0,0.0,0.0,0.0
0.0,0.15,1.25,1,0.985607734560411,1.0005423731842784,-0.014392265439589047,0.0005423731842784594,0.18695210684564237,0.013030939516961139,-0.18711055606627625,-0.5273990508960056,0.53275,0.4385,0.0005,0.0,0.0
0.0,0.15,1.5,1,0.9785941587840506,1.000663841573524,-0.02140584121594935,0.0006638415735239906,0.2243425282147709,0.013030939516961614,-0.22130571571618524,-0.5947142434186645,0.54025,0.43175,0.006,0.0,0.0
0.0,0.15,2.0,1,0.9608959447706475,1.0009136325611567,-0.0391040552293524,0.0009136325611565539,0.29912337095302777,0.013030939516964489,-0.2870045727860821,-0.7030764254363233,0.55625,0.416,0.0475,0.00025,0.0
0.0,0.15,2.5,1,0.9377305333008215,1.0011697002387194,-0.062269466699178544,0.0011697002387194263,0.3739042136912848,0.013030939516962808,-0.348194689921278,-0.783572839490948,0.56825,0.401,0.14675,0.0055,0.0
0.0,0.15,3.0,1,0.9102665690655594,1.0014304152592506,-0.0897334309344407,0.0014304152592506557,0.4486850564295418,0.013030939516964655,-0.40645819721888693,-0.8430568241424753,0.584,0.38625,0.27475,0.02125,0.0
0.0,0.15,1.0,3,0.9682388708546855,1.0015411901156905,-0.010701149557926226,-0.0068405404606730665,0.1498587779029975,0.002595490848268103,-0.2595078131283854,-0.6342066810229171,0.5455,0.0,0.0175,0.0,0.0
0.0,0.15,1.25,3,0.9504628481254809,1.0017193445627988,-0.016792803771834786,-0.010873770938787266,0.1873234723787469,0.0025954908482686786,-0.31706202300939634,-0.7181550006275362,0.5595,0.38275,0.08225,0.00025,0.0
0.0,0.15,1.5,3,0.9284496976906629,1.0017729275159588,-0.024442680073726908,-0.015818960405182277,0.22478816685449624,0.002595490848269785,-0.37072092870430995,-0.7836462083998461,0.57275,0.3725,0.17875,0.00575,0.0
0.0,0.15,2.0,3,0.8754470412807993,1.001402686106574,-0.04337155070626092,-0.02839106135404759,0.299717555805995,0.0025954908482680276,-0.468992559958969,-0.8739342215004685,0.60225,0.351,0.422,0.0615,0.0
0.0,0.15,2.5,3,0.8119685105062077,1.0001981426607678,-0.06707572609209356,-0.04442512580537036,0.3746469447574937,0.0025954908482688625,-0.5563879141069747,-0.9276392023785945,0.6275,0.32875,0.634,0.1845,0.00125
0.0,0.15,3.0,3,0.7402033371701162,0.9978895832850557,-0.09541300266429459,-0.0637536470542396,0.44957633370899247,0.0025954908482684926,-0.6325974717005693,-0.9591751096136482,0.64925,0.30425,0.785,0.3375,0.01375
